feature,role,in_C,in_I_expected,source_file,metric,mean_value,std_unit_value,se_unit_mean,ci95_boot_low,ci95_boot_high,n_units,interval_unit
X1,confounder_proxy,False,True,exp9_scm_causal_control_seed_summary.csv,ATE_do,0.0003819999999999901,0.00255592521099704,0.0005715222517194874,-0.0006510749999999948,0.0014811749999999592,20,seed_mean
X2,confounder_proxy,False,True,exp9_scm_causal_control_seed_summary.csv,ATE_do,1.0000000000019998e-05,0.0023210841387048355,0.0005190101915640563,-0.0009261999999999551,0.0010520250000000003,20,seed_mean
X3,true_cause,True,True,exp9_scm_causal_control_seed_summary.csv,ATE_do,0.520659,0.0022480538952145733,0.0005026801326782975,0.5196879750000001,0.5216621499999998,20,seed_mean
X4,redundant_proxy,False,True,exp9_scm_causal_control_seed_summary.csv,ATE_do,0.0007369999999999752,0.0025533983547215205,0.000570957229479344,-0.0003190250000000002,0.0018061999999999742,20,seed_mean
X5,noise,False,False,exp9_scm_causal_control_seed_summary.csv,ATE_do,-0.0002659999999999895,0.002107940876030877,0.0004713499091355498,-0.001182099999999984,0.000651099999999985,20,seed_mean
X6,noise,False,False,exp9_scm_causal_control_seed_summary.csv,ATE_do,-0.00126199999999997,0.002107998801557603,0.00047136286167708897,-0.0022340499999999558,-0.00036284999999997594,20,seed_mean
X7,noise,False,False,exp9_scm_causal_control_seed_summary.csv,ATE_do,2.6999999999999945e-05,0.002729575058502659,0.000610351538049991,-0.0012100249999999898,0.0010800999999999845,20,seed_mean
X8,noise,False,False,exp9_scm_causal_control_seed_summary.csv,ATE_do,-0.0007739999999999799,0.002431634494694731,0.000543730002657077,-0.001749199999999965,0.0002780000000000052,20,seed_mean
X1,confounder_proxy,False,True,exp9_scm_causal_control_seed_summary.csv,MI_marginal,0.07401504531219465,0.006649834000356896,0.001486948086388738,0.07118560689770546,0.07705635404347495,20,seed_mean
X2,confounder_proxy,False,True,exp9_scm_causal_control_seed_summary.csv,MI_marginal,0.07310009984828342,0.006806372758816802,0.001521951216891715,0.07028919691492498,0.0760322051685539,20,seed_mean
X3,true_cause,True,True,exp9_scm_causal_control_seed_summary.csv,MI_marginal,0.11964075209967684,0.008252739778386874,0.00184536871450896,0.11639803480187721,0.1230517841328295,20,seed_mean
X4,redundant_proxy,False,True,exp9_scm_causal_control_seed_summary.csv,MI_marginal,0.1191752773073873,0.007213947817834562,0.001613087770681435,0.11615524337713103,0.12236307740500214,20,seed_mean
X5,noise,False,False,exp9_scm_causal_control_seed_summary.csv,MI_marginal,0.001418659321587762,0.0025544609393950354,0.000571194830635527,0.00041241905122872035,0.0026370881428059204,20,seed_mean
X6,noise,False,False,exp9_scm_causal_control_seed_summary.csv,MI_marginal,0.0010176987573766048,0.0018772839311487338,0.00041977344831166033,0.0003169618828371159,0.001918008577871403,20,seed_mean
X7,noise,False,False,exp9_scm_causal_control_seed_summary.csv,MI_marginal,0.00171757289664047,0.0028321340739772306,0.0006332844310806506,0.0006100040124635155,0.0030144568942899828,20,seed_mean
X8,noise,False,False,exp9_scm_causal_control_seed_summary.csv,MI_marginal,0.0010057562379245549,0.0018654019586473662,0.0004171165584896762,0.00029892528495492285,0.0018475959431440772,20,seed_mean
X1,confounder_proxy,False,True,exp9_scm_causal_control_seed_summary.csv,NS_delta_order1,0.035039016435475356,0.002911009591893609,0.000650921533062803,0.03379511234830241,0.036285090214523086,20,seed_mean
X2,confounder_proxy,False,True,exp9_scm_causal_control_seed_summary.csv,NS_delta_order1,0.0354210458033496,0.003105333190908604,0.0006943736107657971,0.03410615041940706,0.03671619846061536,20,seed_mean
X3,true_cause,True,True,exp9_scm_causal_control_seed_summary.csv,NS_delta_order1,0.05729942054286187,0.00392774317189606,0.0008782700730520231,0.05565176833916896,0.059029377747196306,20,seed_mean
X4,redundant_proxy,False,True,exp9_scm_causal_control_seed_summary.csv,NS_delta_order1,0.056663757807072154,0.003738898773877119,0.0008360431819379853,0.05501798148987187,0.05828735347956281,20,seed_mean
X5,noise,False,False,exp9_scm_causal_control_seed_summary.csv,NS_delta_order1,4.335580990169673e-06,0.00012466533723498388,2.787601684953596e-05,-4.9547677310973825e-05,5.79939866750042e-05,20,seed_mean
X6,noise,False,False,exp9_scm_causal_control_seed_summary.csv,NS_delta_order1,3.626725661476465e-05,0.0001555182420974244,3.4774936107111046e-05,-2.1558797851642046e-05,0.00011120163434343896,20,seed_mean
X7,noise,False,False,exp9_scm_causal_control_seed_summary.csv,NS_delta_order1,2.5208602372362507e-05,0.00011236836605768676,2.5126330502556763e-05,-2.3853340426858944e-05,7.101088671587047e-05,20,seed_mean
X8,noise,False,False,exp9_scm_causal_control_seed_summary.csv,NS_delta_order1,-1.460070318272841e-05,9.784528510381491e-05,2.187887087699777e-05,-5.5660701889750096e-05,2.814038743339971e-05,20,seed_mean
